r3000,r5000,noxevent,r2000,coevent,system_time,gps_time,latitude,longitude
21,29,111,28,3,2018-03-06 14:29:27.834062,14:29:27,52.56502233333333,13.409443
21,29,111,28,3,2018-03-06 14:29:28.859055,14:29:28,52.56502316666667,13.409439833333334
21,29,111,28,3,2018-03-06 14:29:29.873910,14:29:29,52.5650245,13.409437166666667
21,29,111,28,3,2018-03-06 14:29:30.889525,14:29:30,52.56502533333333,13.409434333333333
21,29,111,28,3,2018-03-06 14:29:31.917258,14:29:31,52.56502616666667,13.409431833333333
21,29,111,28,3,2018-03-06 14:29:32.936765,14:29:32,52.56502833333333,13.409428666666667
21,29,111,28,3,2018-03-06 14:29:33.954478,14:29:33,52.56502966666667,13.4094255
21,29,111,28,3,2018-03-06 14:29:34.968378,14:29:34,52.565030666666665,13.409422666666666
21,29,111,28,3,2018-03-06 14:29:35.983414,14:29:35,52.5650325,13.4094195
21,29,111,28,3,2018-03-06 14:29:37.004282,14:29:36,52.56503433333334,13.409415833333334
21,29,111,28,3,2018-03-06 14:29:38.023109,14:29:37,52.56503583333333,13.409412666666666
21,29,111,28,3,2018-03-06 14:29:39.037294,14:29:38,52.56503716666667,13.4094095
21,29,111,28,3,2018-03-06 14:29:40.053200,14:29:39,52.565038666666666,13.409406666666667
21,29,111,28,3,2018-03-06 14:29:41.071791,14:29:41,52.5650425,13.409400833333333
21,29,111,28,3,2018-03-06 14:29:42.085724,14:29:42,52.56504366666667,13.409398833333332
25,37,99,35,3,2018-03-06 14:29:44.191285,14:29:44,52.56504616666667,13.409395833333333
25,37,99,35,3,2018-03-06 14:29:45.235741,14:29:45,52.56504783333333,13.409394166666667
25,37,99,35,3,2018-03-06 14:29:46.294689,14:29:46,52.565049333333334,13.409393
25,37,99,35,3,2018-03-06 14:29:47.342051,14:29:47,52.5650505,13.4093915
25,37,99,35,3,2018-03-06 14:29:48.371935,14:29:48,52.56505166666667,13.409390166666666
25,37,99,35,3,2018-03-06 14:29:49.385883,14:29:49,52.56505283333333,13.409389333333333
25,37,99,35,3,2018-03-06 14:29:50.404701,14:29:50,52.565053666666664,13.409388333333334
25,37,99,35,3,2018-03-06 14:29:51.422350,14:29:51,52.565054333333336,13.409387166666667
25,37,99,35,3,2018-03-06 14:29:52.437965,14:29:52,52.56505516666667,13.4093865
25,37,99,35,3,2018-03-06 14:29:53.455796,14:29:53,52.56505583333333,13.409385
25,37,99,35,3,2018-03-06 14:29:54.472097,14:29:54,52.5650565,13.409383833333333
25,37,99,35,3,2018-03-06 14:29:55.486983,14:29:55,52.565057333333336,13.4093835
25,37,99,35,3,2018-03-06 14:29:56.504058,14:29:56,52.56505816666667,13.4093835
25,37,99,35,3,2018-03-06 14:29:57.559674,14:29:57,52.56505933333333,13.409383666666667
25,37,99,35,3,2018-03-06 14:29:58.671038,14:29:58,52.565060333333335,13.409383666666667
25,37,99,35,3,2018-03-06 14:29:59.703016,14:29:59,52.56506133333333,13.409384166666667
25,37,99,35,3,2018-03-06 14:30:00.782662,14:30:00,52.5650625,13.4093855
25,37,99,35,3,2018-03-06 14:30:01.822032,14:30:01,52.5650635,13.409386333333334
25,37,99,35,3,2018-03-06 14:30:02.892578,14:30:02,52.56506483333333,13.4093865
25,37,99,35,3,2018-03-06 14:30:03.906929,14:30:03,52.565065833333335,13.4093875
25,37,99,35,3,2018-03-06 14:30:04.930513,14:30:04,52.56506683333333,13.409387666666667
25,37,99,35,3,2018-03-06 14:30:05.952700,14:30:05,52.56506783333333,13.409387333333333
25,37,99,35,3,2018-03-06 14:30:06.967015,14:30:06,52.565069,13.409387333333333
